Name,ID,Gene,Value
PC 70,A,CD40,16.51561454
PC 70,A,HTRA2,19.39287494
PC 70,A,HIF1A,16.27557253
PC 70,A,HES1,18.00072257
PC 70,A,GSTP1,12.13466874
PC 70,A,GSTM1,17.01603086
PC 70,A,BAX,17.82642455
PC 70,A,NOTCH1,20.83772029
PC 70,A,TP53,16.75293837
PC 70,A,SOD2,15.15505747
PC 70,A,SNAI2,17.55835045
PC 70,A,SLPI,13.88156347
PC 70,A,RIPK3,18.47148316
751,A,ABCB,13.7727813
751,A,ABCC1,18.94736593
751,A,ABCC3,16.26865952
751,A,AKT1,16.33495264
751,A,ALDH1A1,18.67410687
751,A,ALDH3A1,17.74712371
751,A,ANGPTL4,20.68603132
751,A,CASP8,16.16018688
751,A,CCND1,16.70142274
751,A,CD274,21.30033631
751,A,CD34,16.2284963
751,A,CD44,15.4525768
751,A,CDH1,15.24965191
751,A,CDH5,16.47422004
751,A,CDKN1A,14.77845609
751,A,CDKN3,17.59307061
751,A,CEACAM6,10.99697434
751,A,DNMT1,16.40677451
751,A,EGFR,17.26816535
751,A,ERCC1,17.16026772
751,A,FAP,19.32800402
751,A,FGF13,21.35627585
751,A,FGF2,19.60635742
751,A,FGFR2,16.29440381
751,A,HMOX2,15.61035838
751,A,IGF1R,17.92450587
751,A,IL17A,19.32585608
751,A,IL18,18.08000532
751,A,IL6,18.94782623
751,A,KAT6A,14.8172153
751,A,KRAS,14.8107356
751,A,LEF1,18.7832872
751,A,MDM2,16.56689065
751,A,MLH1,17.77947822
751,A,MMP1,12.61142012
751,A,MUC1,10.49269071
751,A,MYC,17.99767425
751,A,NFE2L2,13.41494855
751,A,NFE2L3,15.17996573
751,A,OCLN,14.4107464
751,A,PARP1,16.65199804
751,A,PCNA,16.63260698
751,A,PECAM1,14.69030668
751,A,E,15.99484217
751,A,D,17.77389483
751,A,C,12.76974035
751,A,B,10.84510573
751,A,A,12.0487884
751,A,PI3,16.91355863
751,A,S100P,13.31184748
751,A,RB1,18.29182431
751,A,PTEN,14.60694167
751,A,G,15.90331106
751,A,F,12.35775508
751,A,STAT5A,17.07911642
751,A,STAT3,14.78156747
751,A,STAT1,15.38295182
751,A,SOX7,21.07794903
751,A,SNAI1,16.27829675
751,A,SMYD2,18.38694393
751,A,WNT5A,18.38100913
751,A,VEGFA,15.0229029
751,A,TWIST1,20.59009747
751,A,TP63,18.73829842
751,A,TOP1,16.07041773
751,A,TGFB1,16.87271296
751,A,FASLG,17.72462072
751,A,FAS,18.27549648
751,A,CD40,15.64224409
751,A,HTRA2,19.22380528
751,A,HIF1A,14.69098483
751,A,HES1,17.41696081
751,A,GSTP1,11.39046622
751,A,GSTM1,17.65165366
751,A,BAX,17.8253206
751,A,NOTCH1,18.61029977
751,A,MYD88,15.97606237
751,A,IL1B,13.2810191
751,A,TP53,17.24352756
751,A,SOD2,13.18023889
751,A,SNAI2,16.03051976
751,A,SLPI,15.4110906
751,A,RIPK3,18.37751218
PC 69,A,ABCB,14.7026582
